"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 25 17:59:03 GMT 2023","Fri Aug 25 17:59:04 GMT 2023","947","Surefire suite","Surefire test","com.testribe.demo.automation.AutomationApplicationTests","com.testribe.demo.automation.AutomationApplicationTests","LoginTest","LoginTest","Verify valid user login"
"failed","Fri Aug 25 17:59:04 GMT 2023","Fri Aug 25 17:59:05 GMT 2023","936","Surefire suite","Surefire test","com.testribe.demo.automation.AutomationApplicationTests","com.testribe.demo.automation.AutomationApplicationTests","LoginTestFailed","LoginTestFailed","Verify valid user login test"
